Site,Latitude,Longitude
Central Park,40.78292718514365,-73.96565835736784
The National 9/11 Memorial & Museum,40.711683219876754,-74.01341132803223
The Metropolitan Museum of Art,40.77958280667058,-73.96294359658349
Empire State Building,40.74860303081539,-73.98430184182304
Times Square,40.75813942705815,-73.98516105822475
Yankee Stadium,40.829788622290536,-73.92579901687586
Rockefeller Center,40.75886207211021,-73.97808351801308
JFK International Airport,40.64481170625436,-73.77976787701408
Staten Island Ferry,40.646411783840904,-74.06401670929252
Grand Central Terminal,40.75345569988073,-73.97621401801332